Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,22u,
"C10, C14, C15, C5, C7, C8, C9",0603,7,100n,
C11,0603,1,10n,
"C12, C13, C16",0603,3,1u,
"C3, C6",0603,2,10p,
C4,0805,1,10u,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D8, D9",0603,74,LED (RED),
FB1,0603,1,120R,C108298 
J2,USB_Micro-B_Amphenol_10104110_Horizontal,1,USB_B_Micro,C2972784
"JP1, JP2",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,SolderJumper_2_Open,
JP4,SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm_NumberLabels,1,SolderJumper_3_Open,
"R1, R6",0603,2,680R,
"R2, R3, R8",0603,3,1k5,
"R4, R5, R7, R9",0603,4,18k,
SW1,SW_SPDT_PCM12,1,SW_SPDT,C221841
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,C2992570
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8T6,C8734
U3,QFN-28-1EP_4x4mm_P0.4mm_EP2.3x2.3mm,1,IS31FL3731-QF,C191206
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz 10pF,C13738
